Image.Name;Site;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2014-10-10 13-00-00 T.JPG;Valdres;Box1Spring2015;T;10;10;2014;10/10/2014;13:00:00;40;4;S750HG03177873;;
2014-10-11 00-35-57 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;11;10;2014;11/10/2014;00:35:57;38;3;S750HG03177873;M;
2014-10-11 00-35-57 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;11;10;2014;11/10/2014;00:35:57;38;3;S750HG03177873;;
2014-10-11 01-00-00 T.JPG;Valdres;Box1Spring2015;T;11;10;2014;11/10/2014;01:00:00;37;3;S750HG03177873;;
2014-10-11 01-00-01 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;11;10;2014;11/10/2014;01:00:01;37;3;S750HG03177873;;
2014-10-11 01-00-01 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;11;10;2014;11/10/2014;01:00:01;37;3;S750HG03177873;;
2014-10-11 13-00-00 T.JPG;Valdres;Box1Spring2015;T;11;10;2014;11/10/2014;13:00:00;37;3;S750HG03177873;;
2014-10-12 01-00-00 T.JPG;Valdres;Box1Spring2015;T;12;10;2014;12/10/2014;01:00:00;40;4;S750HG03177873;;
2014-10-12 13-00-00 T.JPG;Valdres;Box1Spring2015;T;12;10;2014;12/10/2014;13:00:00;41;5;S750HG03177873;;
2014-10-13 01-00-00 T.JPG;Valdres;Box1Spring2015;T;13;10;2014;13/10/2014;01:00:00;35;2;S750HG03177873;;
2014-10-13 02-48-45 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;13;10;2014;13/10/2014;02:48:45;34;1;S750HG03177873;M;
2014-10-13 02-48-45 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;13;10;2014;13/10/2014;02:48:45;34;1;S750HG03177873;;
2014-10-13 13-00-00 T.JPG;Valdres;Box1Spring2015;T;13;10;2014;13/10/2014;13:00:00;33;1;S750HG03177873;;
2014-10-14 01-00-00 T.JPG;Valdres;Box1Spring2015;T;14;10;2014;14/10/2014;01:00:00;33;1;S750HG03177873;;
2014-10-14 06-03-25 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;14;10;2014;14/10/2014;06:03:25;34;1;S750HG03177873;M;
2014-10-14 06-03-26 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;14;10;2014;14/10/2014;06:03:26;34;1;S750HG03177873;;
2014-10-14 13-00-00 T.JPG;Valdres;Box1Spring2015;T;14;10;2014;14/10/2014;13:00:00;36;2;S750HG03177873;;
2014-10-15 01-00-00 T.JPG;Valdres;Box1Spring2015;T;15;10;2014;15/10/2014;01:00:00;36;2;S750HG03177873;;
2014-10-15 13-00-00 T.JPG;Valdres;Box1Spring2015;T;15;10;2014;15/10/2014;13:00:00;36;2;S750HG03177873;;
2014-10-16 01-00-00 T.JPG;Valdres;Box1Spring2015;T;16;10;2014;16/10/2014;01:00:00;36;2;S750HG03177873;;
2014-10-16 13-00-00 T.JPG;Valdres;Box1Spring2015;T;16;10;2014;16/10/2014;13:00:00;34;1;S750HG03177873;;
2014-10-17 01-00-00 T.JPG;Valdres;Box1Spring2015;T;17;10;2014;17/10/2014;01:00:00;33;1;S750HG03177873;;
2014-10-17 13-00-00 T.JPG;Valdres;Box1Spring2015;T;17;10;2014;17/10/2014;13:00:00;34;1;S750HG03177873;;
2014-10-17 22-54-29 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;17;10;2014;17/10/2014;22:54:29;34;1;S750HG03177873;M;
2014-10-17 22-54-29 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;17;10;2014;17/10/2014;22:54:29;34;1;S750HG03177873;;
2014-10-18 01-00-00 T.JPG;Valdres;Box1Spring2015;T;18;10;2014;18/10/2014;01:00:00;34;1;S750HG03177873;;
