Image Name;Site;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2014-10-14 20-08-03 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;14;10;2014;14/10/2014;20:08:03;34;1;S750HG02176085;;
2014-10-15 01-00-00 T.JPG;Valdres;Box2Spring2015;T;15;10;2014;15/10/2014;01:00:00;34;1;S750HG02176085;;
2014-10-15 13-00-00 T.JPG;Valdres;Box2Spring2015;T;15;10;2014;15/10/2014;13:00:00;34;1;S750HG02176085;;
2014-10-16 01-00-00 T.JPG;Valdres;Box2Spring2015;T;16;10;2014;16/10/2014;01:00:00;33;1;S750HG02176085;;
2014-10-16 13-00-00 T.JPG;Valdres;Box2Spring2015;T;16;10;2014;16/10/2014;13:00:00;31;-1;S750HG02176085;;
2014-10-17 00-41-38 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;17;10;2014;17/10/2014;00:41:38;30;-1;S750HG02176085;L;
2014-10-17 00-41-38 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;17;10;2014;17/10/2014;00:41:38;30;-1;S750HG02176085;;
2014-10-17 01-00-00 T.JPG;Valdres;Box2Spring2015;T;17;10;2014;17/10/2014;01:00:00;31;-1;S750HG02176085;;
2014-10-17 13-00-00 T.JPG;Valdres;Box2Spring2015;T;17;10;2014;17/10/2014;13:00:00;31;-1;S750HG02176085;;
2014-10-18 01-00-00 T.JPG;Valdres;Box2Spring2015;T;18;10;2014;18/10/2014;01:00:00;32;0;S750HG02176085;;
2014-10-18 07-09-08 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;18;10;2014;18/10/2014;07:09:08;32;0;S750HG02176085;K;
2014-10-18 07-09-09 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;18;10;2014;18/10/2014;07:09:09;32;0;S750HG02176085;;
2014-10-18 13-00-00 T.JPG;Valdres;Box2Spring2015;T;18;10;2014;18/10/2014;13:00:00;33;1;S750HG02176085;;
2014-10-19 01-00-00 T.JPG;Valdres;Box2Spring2015;T;19;10;2014;19/10/2014;01:00:00;33;1;S750HG02176085;;
2014-10-19 13-00-00 T.JPG;Valdres;Box2Spring2015;T;19;10;2014;19/10/2014;13:00:00;36;2;S750HG02176085;;
2014-10-20 01-00-00 T.JPG;Valdres;Box2Spring2015;T;20;10;2014;20/10/2014;01:00:00;35;2;S750HG02176085;;
2014-10-20 13-00-00 T.JPG;Valdres;Box2Spring2015;T;20;10;2014;20/10/2014;13:00:00;41;5;S750HG02176085;;
2014-10-21 01-00-00 T.JPG;Valdres;Box2Spring2015;T;21;10;2014;21/10/2014;01:00:00;36;2;S750HG02176085;;
2014-10-21 02-05-56 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;21;10;2014;21/10/2014;02:05:56;36;2;S750HG02176085;M;
2014-10-21 02-05-56 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;21;10;2014;21/10/2014;02:05:56;36;2;S750HG02176085;;
2014-10-21 05-47-35 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;21;10;2014;21/10/2014;05:47:35;36;2;S750HG02176085;M;
2014-10-21 05-47-35 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;21;10;2014;21/10/2014;05:47:35;36;2;S750HG02176085;;
2014-10-21 06-12-11 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;21;10;2014;21/10/2014;06:12:11;36;2;S750HG02176085;M;
2014-10-21 06-12-11 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;21;10;2014;21/10/2014;06:12:11;36;2;S750HG02176085;;
2014-10-21 13-00-00 T.JPG;Valdres;Box2Spring2015;T;21;10;2014;21/10/2014;13:00:00;40;4;S750HG02176085;;
2014-10-22 01-00-00 T.JPG;Valdres;Box2Spring2015;T;22;10;2014;22/10/2014;01:00:00;36;2;S750HG02176085;;
2014-10-22 13-00-00 T.JPG;Valdres;Box2Spring2015;T;22;10;2014;22/10/2014;13:00:00;37;3;S750HG02176085;;
2014-10-23 01-00-00 T.JPG;Valdres;Box2Spring2015;T;23;10;2014;23/10/2014;01:00:00;32;0;S750HG02176085;;
2014-10-23 13-00-00 T.JPG;Valdres;Box2Spring2015;T;23;10;2014;23/10/2014;13:00:00;32;0;S750HG02176085;;
2014-10-24 00-22-18 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;24;10;2014;24/10/2014;00:22:18;33;1;S750HG02176085;K;
2014-10-24 00-22-19 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;24;10;2014;24/10/2014;00:22:19;33;1;S750HG02176085;;
2014-10-24 01-00-00 T.JPG;Valdres;Box2Spring2015;T;24;10;2014;24/10/2014;01:00:00;33;1;S750HG02176085;;
2014-10-24 13-00-00 T.JPG;Valdres;Box2Spring2015;T;24;10;2014;24/10/2014;13:00:00;41;5;S750HG02176085;;
2014-10-24 19-38-50 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;24;10;2014;24/10/2014;19:38:50;43;6;S750HG02176085;M;
2014-10-24 19-38-50 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;24;10;2014;24/10/2014;19:38:50;43;6;S750HG02176085;;
2014-10-24 19-41-41 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;24;10;2014;24/10/2014;19:41:41;42;6;S750HG02176085;M;
2014-10-24 19-41-41 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;24;10;2014;24/10/2014;19:41:41;42;6;S750HG02176085;;
2014-10-25 01-00-00 T.JPG;Valdres;Box2Spring2015;T;25;10;2014;25/10/2014;01:00:00;40;4;S750HG02176085;;
2014-10-25 13-00-00 T.JPG;Valdres;Box2Spring2015;T;25;10;2014;25/10/2014;13:00:00;37;3;S750HG02176085;;
2014-10-25 18-05-59 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;25;10;2014;25/10/2014;18:05:59;38;3;S750HG02176085;K;
2014-10-25 18-06-00 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;25;10;2014;25/10/2014;18:06:00;38;3;S750HG02176085;;
2014-10-26 01-00-00 T.JPG;Valdres;Box2Spring2015;T;26;10;2014;26/10/2014;01:00:00;38;3;S750HG02176085;;
2014-10-26 13-00-00 T.JPG;Valdres;Box2Spring2015;T;26;10;2014;26/10/2014;13:00:00;42;6;S750HG02176085;;
2014-10-27 01-00-00 T.JPG;Valdres;Box2Spring2015;T;27;10;2014;27/10/2014;01:00:00;43;6;S750HG02176085;;
2014-10-27 13-00-00 T.JPG;Valdres;Box2Spring2015;T;27;10;2014;27/10/2014;13:00:00;41;5;S750HG02176085;;
2014-10-27 20-08-11 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;27;10;2014;27/10/2014;20:08:11;45;7;S750HG02176085;;
2014-10-27 20-08-12 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;27;10;2014;27/10/2014;20:08:12;45;7;S750HG02176085;;
2014-10-28 01-00-00 T.JPG;Valdres;Box2Spring2015;T;28;10;2014;28/10/2014;01:00:00;45;7;S750HG02176085;;
2014-10-28 06-06-24 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;28;10;2014;28/10/2014;06:06:24;46;8;S750HG02176085;M;
2014-10-28 06-06-24 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;28;10;2014;28/10/2014;06:06:24;46;8;S750HG02176085;;
2014-10-28 13-00-00 T.JPG;Valdres;Box2Spring2015;T;28;10;2014;28/10/2014;13:00:00;50;10;S750HG02176085;;
2014-10-29 01-00-00 T.JPG;Valdres;Box2Spring2015;T;29;10;2014;29/10/2014;01:00:00;42;6;S750HG02176085;;
2014-10-29 13-00-00 T.JPG;Valdres;Box2Spring2015;T;29;10;2014;29/10/2014;13:00:00;36;2;S750HG02176085;;
2014-10-29 18-08-12 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;29;10;2014;29/10/2014;18:08:12;35;2;S750HG02176085;K;
2014-10-29 18-08-12 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;29;10;2014;29/10/2014;18:08:12;35;2;S750HG02176085;;
2014-10-29 19-28-03 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;29;10;2014;29/10/2014;19:28:03;33;1;S750HG02176085;M;
2014-10-29 19-28-03 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;29;10;2014;29/10/2014;19:28:03;33;1;S750HG02176085;;
2014-10-29 19-31-30 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;29;10;2014;29/10/2014;19:31:30;33;1;S750HG02176085;M;
2014-10-29 19-31-30 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;29;10;2014;29/10/2014;19:31:30;33;1;S750HG02176085;;
2014-10-29 19-32-30 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;29;10;2014;29/10/2014;19:32:30;33;1;S750HG02176085;M;
2014-10-29 19-32-30 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;29;10;2014;29/10/2014;19:32:30;33;1;S750HG02176085;;
2014-10-29 22-05-44 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;29;10;2014;29/10/2014;22:05:44;31;-1;S750HG02176085;K;
2014-10-29 22-05-45 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;29;10;2014;29/10/2014;22:05:45;31;-1;S750HG02176085;;
2014-10-30 01-00-00 T.JPG;Valdres;Box2Spring2015;T;30;10;2014;30/10/2014;01:00:00;30;-1;S750HG02176085;;
2014-10-30 01-38-12 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;30;10;2014;30/10/2014;01:38:12;30;-1;S750HG02176085;M;
2014-10-30 01-38-12 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;30;10;2014;30/10/2014;01:38:12;30;-1;S750HG02176085;;
2014-10-30 01-39-18 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;30;10;2014;30/10/2014;01:39:18;30;-1;S750HG02176085;M;
2014-10-30 01-39-18 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;30;10;2014;30/10/2014;01:39:18;30;-1;S750HG02176085;;
2014-10-30 02-45-47 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;30;10;2014;30/10/2014;02:45:47;30;-1;S750HG02176085;M;
