"G01","G02","G04","G06","G08","G10","G11","G15","G16","G19","G20","seas","sp","year"
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2015
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2015
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2015
14,12,6,12,9,9,9,6,4,9,1,"FALL","RUF",2016
3,8,0,1,8,5,9,10,12,12,10,"SPRING","RUF",2016
0,0,2,16,0,2,4,0,0,0,0,"FALL","RUT",2016
0,0,0,4,0,1,0,0,0,0,0,"SPRING","RUT",2016
0,0,3,0,0,0,0,0,0,0,0,"FALL","AGR",2016
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2016
0,0,0,0,0,0,0,0,0,1,0,"FALL","OEC",2016
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2016
2,4,0,0,1,0,4,0,0,3,0,"FALL","RUF",2017
2,1,0,0,0,0,0,0,0,0,0,"SPRING","RUF",2017
0,0,0,0,2,0,0,1,0,0,0,"FALL","RUT",2017
0,0,0,0,0,0,0,0,0,0,0,"SPRING","RUT",2017
0,0,1,0,0,0,0,0,0,0,0,"FALL","AGR",2017
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2017
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2017
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2017
13,18,0,9,12,0,20,19,11,10,10,"FALL","RUF",2018
4,4,0,0,3,2,12,2,2,6,2,"SPRING","RUF",2018
0,0,2,11,4,0,1,1,0,0,2,"FALL","RUT",2018
0,0,0,0,0,0,0,1,1,0,0,"SPRING","RUT",2018
0,0,9,0,0,0,0,0,0,0,0,"FALL","AGR",2018
0,0,1,0,1,0,0,0,0,0,0,"SPRING","AGR",2018
0,0,5,0,0,0,1,1,0,0,0,"FALL","OEC",2018
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2018
25,28,2,5,10,0,20,29,27,13,18,"FALL","RUF",2019
16,6,0,1,6,0,9,12,14,5,12,"SPRING","RUF",2019
0,0,0,10,6,0,0,0,0,5,2,"FALL","RUT",2019
0,0,1,7,3,0,1,0,0,1,0,"SPRING","RUT",2019
0,0,12,0,0,0,0,0,0,0,0,"FALL","AGR",2019
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2019
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2019
0,0,0,0,0,0,1,0,0,0,0,"SPRING","OEC",2019
13,12,1,0,4,0,2,0,1,3,1,"FALL","RUF",2020
6,10,0,0,0,0,1,1,1,1,0,"SPRING","RUF",2020
0,0,0,8,1,0,0,2,0,2,6,"FALL","RUT",2020
0,0,0,3,1,0,0,0,0,3,2,"SPRING","RUT",2020
0,0,4,0,0,0,0,0,0,0,0,"FALL","AGR",2020
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2020
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2020
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2020
12,13,0,8,2,0,6,0,0,0,0,"FALL","RUF",2021
1,1,0,1,0,0,1,1,0,0,0,"SPRING","RUF",2021
0,0,1,0,1,0,0,1,7,0,0,"FALL","RUT",2021
0,0,0,1,1,0,0,1,0,0,0,"SPRING","RUT",2021
0,0,1,0,0,0,0,0,0,0,0,"FALL","AGR",2021
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2021
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2021
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2021
25,23,3,17,17,0,39,7,12,2,0,"FALL","RUF",2022
7,6,0,7,11,0,16,2,8,0,0,"SPRING","RUF",2022
0,0,1,4,3,0,2,14,11,10,18,"FALL","RUT",2022
0,0,1,0,0,0,0,2,3,0,1,"SPRING","RUT",2022
0,1,10,8,0,0,0,0,0,0,0,"FALL","AGR",2022
0,0,1,3,0,0,0,0,0,0,0,"SPRING","AGR",2022
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2022
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2022
24,42,7,24,21,0,25,31,27,19,27,"FALL","RUF",2023
12,14,0,14,14,0,8,8,14,3,6,"SPRING","RUF",2023
