Name;Station;Date;SnowDepth
Tromsø;SN90450;24.02.2018;51
Tromsø;SN90450;25.02.2018;51
Tromsø;SN90450;26.02.2018;51
Tromsø;SN90450;27.02.2018;51
Tromsø;SN90450;28.02.2018;50
Tromsø;SN90450;01.03.2018;52
Tromsø;SN90450;02.03.2018;54
Tromsø;SN90450;03.03.2018;54
Tromsø;SN90450;04.03.2018;54
Tromsø;SN90450;05.03.2018;54
Tromsø;SN90450;06.03.2018;54
Tromsø;SN90450;07.03.2018;51
Tromsø;SN90450;08.03.2018;51
Tromsø;SN90450;09.03.2018;51
Tromsø;SN90450;10.03.2018;51
Tromsø;SN90450;11.03.2018;51
Tromsø;SN90450;12.03.2018;53
Tromsø;SN90450;13.03.2018;54
Tromsø;SN90450;14.03.2018;54
Tromsø;SN90450;15.03.2018;54
Tromsø;SN90450;16.03.2018;52
Tromsø;SN90450;17.03.2018;52
Tromsø;SN90450;18.03.2018;77
Tromsø;SN90450;19.03.2018;92
Tromsø;SN90450;20.03.2018;88
Tromsø;SN90450;21.03.2018;86
Tromsø;SN90450;22.03.2018;88
Tromsø;SN90450;23.03.2018;88
Tromsø;SN90450;24.03.2018;88
Tromsø;SN90450;25.03.2018;87
Tromsø;SN90450;26.03.2018;89
Tromsø;SN90450;27.03.2018;100
Tromsø;SN90450;28.03.2018;102
Tromsø;SN90450;29.03.2018;110
Tromsø;SN90450;30.03.2018;110
Tromsø;SN90450;31.03.2018;118
Tromsø;SN90450;01.04.2018;111
Tromsø;SN90450;02.04.2018;106
Tromsø;SN90450;03.04.2018;104
Tromsø;SN90450;04.04.2018;102
Tromsø;SN90450;05.04.2018;102
Tromsø;SN90450;06.04.2018;100
Tromsø;SN90450;07.04.2018;102
Tromsø;SN90450;08.04.2018;114
Tromsø;SN90450;09.04.2018;109
Tromsø;SN90450;10.04.2018;107
Tromsø;SN90450;11.04.2018;109
Tromsø;SN90450;12.04.2018;101
Tromsø;SN90450;13.04.2018;94
Tromsø;SN90450;14.04.2018;90
Tromsø;SN90450;15.04.2018;90
Tromsø;SN90450;16.04.2018;89
Tromsø;SN90450;17.04.2018;85
Tromsø;SN90450;18.04.2018;83
Tromsø;SN90450;19.04.2018;76
Tromsø;SN90450;20.04.2018;76
Tromsø;SN90450;21.04.2018;74
Tromsø;SN90450;22.04.2018;69
Tromsø;SN90450;23.04.2018;69
Tromsø;SN90450;24.04.2018;66
Tromsø;SN90450;25.04.2018;62
Tromsø;SN90450;26.04.2018;62
Tromsø;SN90450;27.04.2018;59
Tromsø;SN90450;28.04.2018;60
Tromsø;SN90450;29.04.2018;58
Tromsø;SN90450;30.04.2018;53
Tromsø;SN90450;01.05.2018;52
Tromsø;SN90450;02.05.2018;50
Tromsø;SN90450;03.05.2018;43
Tromsø;SN90450;04.05.2018;33
Tromsø;SN90450;05.05.2018;20
Tromsø;SN90450;06.05.2018;4
Tromsø;SN90450;09.05.2018;0
Tromsø;SN90450;10.05.2018;0
Tromsø;SN90450;11.05.2018;0
Tromsø;SN90450;17.06.2018;0
Tromsø;SN90450;13.07.2018;0
Tromsø;SN90450;14.07.2018;0
Tromsø;SN90450;15.07.2018;0
Tromsø;SN90450;16.07.2018;0
Tromsø;SN90450;17.07.2018;0
Tromsø;SN90450;18.07.2018;0
Tromsø;SN90450;19.07.2018;0
Tromsø;SN90450;07.09.2018;0
Tromsø;SN90450;08.09.2018;0
Tromsø;SN90450;09.09.2018;0
Tromsø;SN90450;10.09.2018;0
Tromsø;SN90450;11.09.2018;0
Tromsø;SN90450;12.09.2018;0
Tromsø;SN90450;13.09.2018;0
Tromsø;SN90450;14.09.2018;0
Tromsø;SN90450;04.10.2018;0
Tromsø;SN90450;07.10.2018;2
Tromsø;SN90450;28.10.2018;4
Tromsø;SN90450;29.10.2018;3
Tromsø;SN90450;30.10.2018;2
Tromsø;SN90450;01.11.2018;3
Tromsø;SN90450;19.11.2018;0
Tromsø;SN90450;20.11.2018;0
Tromsø;SN90450;21.11.2018;0
Tromsø;SN90450;22.11.2018;0
Tromsø;SN90450;23.11.2018;0
Tromsø;SN90450;24.11.2018;4
Tromsø;SN90450;25.11.2018;21
Tromsø;SN90450;26.11.2018;28
Tromsø;SN90450;27.11.2018;30
Tromsø;SN90450;28.11.2018;32
Tromsø;SN90450;29.11.2018;33
Tromsø;SN90450;30.11.2018;33
Tromsø;SN90450;01.12.2018;25
Tromsø;SN90450;02.12.2018;23
Tromsø;SN90450;03.12.2018;21
Tromsø;SN90450;04.12.2018;18
Tromsø;SN90450;05.12.2018;20
Tromsø;SN90450;06.12.2018;24
Tromsø;SN90450;07.12.2018;40
Tromsø;SN90450;08.12.2018;35
Tromsø;SN90450;09.12.2018;35
Tromsø;SN90450;10.12.2018;35
Tromsø;SN90450;11.12.2018;33
Tromsø;SN90450;12.12.2018;32
Tromsø;SN90450;13.12.2018;29
Tromsø;SN90450;14.12.2018;21
Tromsø;SN90450;15.12.2018;18
Tromsø;SN90450;16.12.2018;17
Tromsø;SN90450;17.12.2018;17
Tromsø;SN90450;18.12.2018;17
Tromsø;SN90450;19.12.2018;15
Tromsø;SN90450;20.12.2018;15
Tromsø;SN90450;21.12.2018;15
Tromsø;SN90450;22.12.2018;15
Tromsø;SN90450;23.12.2018;17
Tromsø;SN90450;24.12.2018;30
Tromsø;SN90450;25.12.2018;32
Tromsø;SN90450;26.12.2018;47
Tromsø;SN90450;27.12.2018;48
Tromsø;SN90450;28.12.2018;48
Tromsø;SN90450;29.12.2018;37
Tromsø;SN90450;30.12.2018;47
Tromsø;SN90450;31.12.2018;48
Tromsø;SN90450;01.01.2019;47
Tromsø;SN90450;02.01.2019;58
Tromsø;SN90450;03.01.2019;59
Tromsø;SN90450;04.01.2019;63
Tromsø;SN90450;05.01.2019;60
Tromsø;SN90450;06.01.2019;59
Tromsø;SN90450;07.01.2019;48
Tromsø;SN90450;08.01.2019;59
Tromsø;SN90450;09.01.2019;60
Tromsø;SN90450;10.01.2019;70
Tromsø;SN90450;11.01.2019;78
Tromsø;SN90450;12.01.2019;83
Tromsø;SN90450;13.01.2019;100
Tromsø;SN90450;14.01.2019;98
Tromsø;SN90450;15.01.2019;96
Tromsø;SN90450;16.01.2019;90
Tromsø;SN90450;17.01.2019;89
Tromsø;SN90450;18.01.2019;89
Tromsø;SN90450;19.01.2019;91
Tromsø;SN90450;20.01.2019;96
Tromsø;SN90450;21.01.2019;101
Tromsø;SN90450;22.01.2019;114
Tromsø;SN90450;23.01.2019;108
Tromsø;SN90450;24.01.2019;104
Tromsø;SN90450;25.01.2019;102
Tromsø;SN90450;26.01.2019;98
Tromsø;SN90450;27.01.2019;95
Tromsø;SN90450;28.01.2019;94
Tromsø;SN90450;29.01.2019;93
Tromsø;SN90450;30.01.2019;90
Tromsø;SN90450;31.01.2019;90
Tromsø;SN90450;01.02.2019;90
Tromsø;SN90450;02.02.2019;90
Tromsø;SN90450;03.02.2019;88
Tromsø;SN90450;04.02.2019;88
Tromsø;SN90450;05.02.2019;84
Tromsø;SN90450;06.02.2019;87
Tromsø;SN90450;07.02.2019;99
Tromsø;SN90450;08.02.2019;96
Tromsø;SN90450;09.02.2019;95
Tromsø;SN90450;10.02.2019;93
Tromsø;SN90450;11.02.2019;95
Tromsø;SN90450;12.02.2019;100
Tromsø;SN90450;13.02.2019;111
Tromsø;SN90450;14.02.2019;108
Tromsø;SN90450;15.02.2019;97
Tromsø;SN90450;16.02.2019;103
Tromsø;SN90450;17.02.2019;99
Tromsø;SN90450;18.02.2019;100
Tromsø;SN90450;19.02.2019;100
Tromsø;SN90450;20.02.2019;101
Tromsø;SN90450;21.02.2019;99
Tromsø;SN90450;22.02.2019;98
Tromsø;SN90450;23.02.2019;90
Tromsø;SN90450;24.02.2019;75
Tromsø;SN90450;25.02.2019;69
Tromsø;SN90450;26.02.2019;82
Tromsø;SN90450;27.02.2019;75
Tromsø;SN90450;28.02.2019;70
Tromsø;SN90450;01.03.2019;71
Tromsø;SN90450;02.03.2019;70
Tromsø;SN90450;03.03.2019;69
Tromsø;SN90450;04.03.2019;79
Tromsø;SN90450;05.03.2019;80
Tromsø;SN90450;06.03.2019;95
Tromsø;SN90450;07.03.2019;98
Tromsø;SN90450;08.03.2019;93
Tromsø;SN90450;09.03.2019;91
Tromsø;SN90450;10.03.2019;91
Tromsø;SN90450;11.03.2019;89
Tromsø;SN90450;12.03.2019;97
Tromsø;SN90450;13.03.2019;109
Tromsø;SN90450;14.03.2019;102
Tromsø;SN90450;15.03.2019;102
Tromsø;SN90450;16.03.2019;102
Tromsø;SN90450;17.03.2019;101
Tromsø;SN90450;18.03.2019;101
Tromsø;SN90450;19.03.2019;99
Tromsø;SN90450;20.03.2019;96
Tromsø;SN90450;21.03.2019;96
Tromsø;SN90450;22.03.2019;102
Tromsø;SN90450;23.03.2019;98
Tromsø;SN90450;24.03.2019;95
Tromsø;SN90450;25.03.2019;99
Tromsø;SN90450;26.03.2019;114
Tromsø;SN90450;27.03.2019;113
Tromsø;SN90450;28.03.2019;111
Tromsø;SN90450;29.03.2019;97
Tromsø;SN90450;30.03.2019;112
Tromsø;SN90450;31.03.2019;129
Tromsø;SN90450;01.04.2019;158
Tromsø;SN90450;02.04.2019;158
Tromsø;SN90450;03.04.2019;136
Tromsø;SN90450;04.04.2019;133
Tromsø;SN90450;05.04.2019;132
Tromsø;SN90450;06.04.2019;131
Tromsø;SN90450;07.04.2019;132
Tromsø;SN90450;08.04.2019;131
Tromsø;SN90450;09.04.2019;128
Tromsø;SN90450;10.04.2019;128
Tromsø;SN90450;11.04.2019;128
Tromsø;SN90450;12.04.2019;129
Tromsø;SN90450;13.04.2019;126
Tromsø;SN90450;14.04.2019;118
Tromsø;SN90450;15.04.2019;116
Tromsø;SN90450;16.04.2019;110
Tromsø;SN90450;17.04.2019;108
Tromsø;SN90450;18.04.2019;106
Tromsø;SN90450;19.04.2019;104
Tromsø;SN90450;20.04.2019;91
Tromsø;SN90450;21.04.2019;81
Tromsø;SN90450;22.04.2019;76
Tromsø;SN90450;23.04.2019;67
Tromsø;SN90450;24.04.2019;61
Tromsø;SN90450;25.04.2019;57
Tromsø;SN90450;26.04.2019;53
Tromsø;SN90450;27.04.2019;49
Tromsø;SN90450;28.04.2019;44
Tromsø;SN90450;29.04.2019;38
Tromsø;SN90450;30.04.2019;36
Tromsø;SN90450;01.05.2019;31
Tromsø;SN90450;02.05.2019;31
Tromsø;SN90450;03.05.2019;31
Tromsø;SN90450;04.05.2019;38
Tromsø;SN90450;05.05.2019;35
Tromsø;SN90450;06.05.2019;32
Tromsø;SN90450;07.05.2019;29
Tromsø;SN90450;08.05.2019;24
Tromsø;SN90450;09.05.2019;21
Tromsø;SN90450;10.05.2019;15
Tromsø;SN90450;11.05.2019;9
Tromsø;SN90450;12.05.2019;0
Tromsø;SN90450;13.05.2019;0
Tromsø;SN90450;14.05.2019;0
Tromsø;SN90450;15.05.2019;0
Tromsø;SN90450;16.05.2019;0
Tromsø;SN90450;17.05.2019;0
Tromsø;SN90450;18.05.2019;0
Tromsø;SN90450;19.05.2019;0
Tromsø;SN90450;20.05.2019;0
Tromsø;SN90450;21.05.2019;0
Tromsø;SN90450;22.05.2019;0
Tromsø;SN90450;23.05.2019;0
Tromsø;SN90450;24.05.2019;0
Tromsø;SN90450;25.05.2019;0
Tromsø;SN90450;26.05.2019;0
Tromsø;SN90450;27.05.2019;0
Tromsø;SN90450;28.05.2019;0
Tromsø;SN90450;29.05.2019;0
Tromsø;SN90450;30.05.2019;0
Tromsø;SN90450;31.05.2019;0
Tromsø;SN90450;01.06.2019;0
Tromsø;SN90450;02.06.2019;0
Tromsø;SN90450;03.06.2019;0
Tromsø;SN90450;04.06.2019;0
Tromsø;SN90450;05.06.2019;0
Tromsø;SN90450;06.06.2019;0
Tromsø;SN90450;07.06.2019;0
Tromsø;SN90450;08.06.2019;0
Tromsø;SN90450;09.06.2019;0
Tromsø;SN90450;10.06.2019;0
Tromsø;SN90450;11.06.2019;0
